,Unnamed: 0,Text,Label,LabelCategory,Category
0,1,I'm trying to work myself backwords to see if I can make sense of it in my head,CEC-R,CEC-R,1
1,2,R=V/I is the formula I used but it's the same thing,CEC-R,CEC-R,1
2,3,I am currently measuring the voltage across the given resistor and adjusting the resistance,CEC-R,CEC-R,1
3,4,As i am monitoring the voltage reading,CEC-R,CEC-R,1
4,5,I am refreshing to see if this is something on my end versus an issue with the circuit,CEC-R,CEC-R,1
5,6,I am still trying to troubleshoot the 0 voltage issue i have.,CEC-R,CEC-R,1
6,7,I DID BUT ITS NOT SHOWING ANYTHING ON THE MULTIMETER,CEC-R,CEC-R,1
7,8,I just tried that,CEC-R,CEC-R,1
8,9,ill stay lower,CEC-R,CEC-R,1
9,10,ok ill go up,CEC-R,CEC-R,1
10,11,i went to 820,CEC-R,CEC-R,1
11,12,so if you raise yours and i drop mine,CEC-R,CEC-R,1
12,13,ill take 47,CEC-R,CEC-R,1
13,14,I took 68,CEC-R,CEC-R,1
14,15,i used 3820. 1k for ours resistors,CEC-R,CEC-R,1
15,16,I set my resistor 390 ohms,CEC-R,CEC-R,1
16,17,i cant do 30,CEC-R,CEC-R,1
17,18,let me mess with this first,CEC-R,CEC-R,1
18,19,done,CEC-R,CEC-R,1
19,20,done,CEC-R,CEC-R,1
20,21,done,CEC-R,CEC-R,1
21,22,"I got 325, I changed it to 330",CEC-R,CEC-R,1
22,23,did it,CEC-R,CEC-R,1
23,24,went to 220,CEC-R,CEC-R,1
24,25,did,CEC-R,CEC-R,1
25,26,taking over,CEC-R,CEC-R,1
26,27,I put 18-,CEC-R,CEC-R,1
27,28,done,CEC-R,CEC-R,1
28,29,I put 820,CEC-R,CEC-R,1
29,30,did it,CEC-R,CEC-R,1
30,31,I use 270,CEC-R,CEC-R,1
31,32,I changed it to 220,CEC-R,CEC-R,1
32,33,I did,CEC-R,CEC-R,1
33,34,doned,CEC-R,CEC-R,1
34,35,i put it in,CEC-R,CEC-R,1
35,36,i unplugged the wire from the resistor,CEC-R,CEC-R,1
36,37,"i connected the, again",CEC-R,CEC-R,1
37,38,done,CEC-R,CEC-R,1
38,39,I'm doing it B,CEC-R,CEC-R,1
39,40,done,CEC-R,CEC-R,1
40,41,I changed it to 150,CEC-R,CEC-R,1
41,42,ok ill change mine a little lower,CEC-R,CEC-R,1
42,43,ill change standby,CEC-R,CEC-R,1
43,44,ill adjust my resistor,CEC-R,CEC-R,1
44,45,ill go to 180,CEC-R,CEC-R,1
45,46,ive change to 220 and reading 1.01,CEC-R,CEC-R,1
46,47,"i have .68, i will adjust a little",CEC-R,CEC-R,1
47,48,i went from 270 to 220 and now have 2.05,CEC-R,CEC-R,1
48,49,im going to try something,CEC-R,CEC-R,1
49,50,i went to 330,CEC-R,CEC-R,1
50,51,i did and it jumped to 3.3,CEC-R,CEC-R,1
51,52,i did,CEC-R,CEC-R,1
52,53,I am,CEC-R,CEC-R,1
53,54,waiting on,CEC-R,CEC-R,1
54,55,you,CEC-R,CEC-R,1
55,56,done,CEC-R,CEC-R,1
56,57,I just decreased mine,CEC-R,CEC-R,1
57,58,I did I made it 18,CEC-R,CEC-R,1
58,59,I kept it at the 20,CEC-R,CEC-R,1
59,60,i turned the deal on multimeter to 200k,CEC-R,CEC-R,1
60,61,imma set my resistor on 8.2k,CEC-R,CEC-R,1
61,62,i set the resistor to 2.2k,CEC-R,CEC-R,1
62,63,i set mine at 5.6k,CEC-R,CEC-R,1
63,64,im lowering down to 100,CEC-R,CEC-R,1
64,65,i set the resistor i tried 8.2M and the multimeter is set at 1000 dcv and reading 0.00,CEC-R,CEC-R,1
65,66,i just reconnected mine,CEC-R,CEC-R,1
66,67,alright i set mine at 8.2m,CEC-R,CEC-R,1
67,68,imma try to bring it down as close a spossible to 2,CEC-R,CEC-R,1
68,69,I'll go lower,CEC-R,CEC-R,1
69,70,ill go higher,CEC-R,CEC-R,1
70,71,i lowered my resistance to 390k,CEC-R,CEC-R,1
71,72,I'm there,CEC-R,CEC-R,1
72,73,there,CEC-R,CEC-R,1
73,74,ill try going lower,CEC-R,CEC-R,1
74,75,ill try moving...,CEC-R,CEC-R,1
75,76,ill stay still until directed otherwise,CEC-R,CEC-R,1
76,77,Ill try raising/lowering,CEC-R,CEC-R,1
77,78,hmm ok ill try playing with my color bands again,CEC-R,CEC-R,1
78,79,I'm just flipping thru ohms now lol until i get mine,CEC-R,CEC-R,1
79,80,"Okay, I won't just in case.",CEC-R,CEC-R,1
80,81,i disconnect a wire and read the votalge on the meter,CEC-R,CEC-R,1
81,82,"me and circle have been changing our resistances, but I dont think triangle has been",CEC-R,CEC-R,1
82,83,i have been,CEC-R,CEC-R,1
83,84,i added our volts and that wasnt it,CEC-R,CEC-R,1
84,85,i legit have no clue. i tried it in ohms and that didnt work,CEC-R,CEC-R,1
85,86,i did,CEC-R,CEC-R,1
86,87,i am at 150 and changed the meater,CEC-R,CEC-R,1
87,88,then go higher. Ill go lower,CEC-R,CEC-R,1
88,89,ill stay put,CEC-R,CEC-R,1
89,90,im going up one,CEC-R,CEC-R,1
90,91,done.,CEC-R,CEC-R,1
91,92,Im gonna try one of the equation real quick,CEC-R,CEC-R,1
92,93,im just decreasing the resistor,CEC-R,CEC-R,1
93,94,I added all the voltages together to find the voltage of V0,CEC-R,CEC-R,1
94,95,Using the equation on the bottom right of the board,CEC-R,CEC-R,1
95,96,"Then when I found my voltage, I plugged in V0 for the top equation on the left",CEC-R,CEC-R,1
96,97,i went all the way to 10 to edit the resistor,CEC-R,CEC-R,1
97,98,Ill plug those in real quick and give you guys the ohms needed hold on,CEC-R,CEC-R,1
98,99,about to do mines,CEC-R,CEC-R,1
99,100,"I recalculated, I is 0.01533",CEC-R,CEC-R,1
100,101,i recalculated to 998,CEC-R,CEC-R,1
101,102,I might be able to counter-act it,CEC-R,CEC-R,1
102,103,ima do it and let me know,CEC-R,CEC-R,1
103,104,i wont,CEC-R,CEC-R,1
104,105,Maybe. I'm going to change my resistance,CEC-R,CEC-R,1
105,106,Eagle and I will fiddle with it,CEC-R,CEC-R,1
106,107,so i set my resistor to 100,CEC-R,CEC-R,1
107,108,done,CEC-R,CEC-R,1
108,109,lemme try increase myine,CEC-R,CEC-R,1
109,110,i just picked a random number,CEC-R,CEC-R,1
110,111,I set the the nob on 20 DCV and i have 4.18,CEC-R,CEC-R,1
111,112,did that my voltage is now 3.72,CEC-R,CEC-R,1
112,113,im trying to just figure it out,CEC-R,CEC-R,1
113,114,ill change mine slightly to see if we can get closer,CEC-R,CEC-R,1
114,115,i did,CEC-R,CEC-R,1
115,116,i went 120,CEC-R,CEC-R,1
116,117,i did,CEC-R,CEC-R,1
117,118,i did not,CEC-R,CEC-R,1
118,119,just did,CEC-R,CEC-R,1
119,120,i just did,CEC-R,CEC-R,1
120,121,went up one,CEC-R,CEC-R,1
121,122,i went to 2.31,CEC-R,CEC-R,1
122,123,did that,CEC-R,CEC-R,1
123,124,i am,CEC-R,CEC-R,1
124,125,im doing the math,CEC-R,CEC-R,1
125,126,"ok wait, everyone say their goal voltages again, lemme take a crack",CEC-R,CEC-R,1
126,127,I did!,CEC-R,CEC-R,1
127,128,i did like a milliion years ago,CEC-R,CEC-R,1
128,129,"I did, it says 6.82",CEC-R,CEC-R,1
129,130,click on the wires,CEC-R,CEC-R,1
130,131,okay i did that,CEC-R,CEC-R,1
131,132,i tried that as well>,CEC-R,CEC-R,1
132,133,"ok, i think i need a 220 ohm resistor. putting it in.",CEC-R,CEC-R,1
133,134,i put in 270 but my voltmeter still shows 0,CEC-R,CEC-R,1
134,135,i put mine in,CEC-R,CEC-R,1
135,136,i set mine to 56,CEC-R,CEC-R,1
136,137,i changed mine to 150 ohm,CEC-R,CEC-R,1
137,138,i changed mine to 180,CEC-R,CEC-R,1
138,139,i dont have 240 ill set 220,CEC-R,CEC-R,1
139,140,I PLUGGED IT BACK IN,CEC-R,CEC-R,1
140,141,Done,CEC-R,CEC-R,1
141,142,done,CEC-R,CEC-R,1
142,143,done,CEC-R,CEC-R,1
143,144,I was trying values,CEC-R,CEC-R,1
144,145,Ill try doing some calculations,CEC-R,CEC-R,1
145,146,Im gonna drop a little bit,CEC-R,CEC-R,1
146,147,there now,CEC-R,CEC-R,1
147,148,done,CEC-R,CEC-R,1
148,149,ill try using reatios,CEC-R,CEC-R,1
149,150,I meant to change the resistance,CEC-R,CEC-R,1
150,151,okay done,CEC-R,CEC-R,1
151,152,done,CEC-R,CEC-R,1
152,153,done,CEC-R,CEC-R,1
153,154,Since the voltage drops are all the same since the Resistance is equal,CEC-R,CEC-R,1
154,155,i changed it to 330 and4.98,CEC-R,CEC-R,1
155,156,i did it try again,CEC-R,CEC-R,1
156,157,"820 is right i think, im there",CEC-R,CEC-R,1
157,158,I just bumped my resistance up to an extreme case,CEC-R,CEC-R,1
158,159,because i measured the amps again and it was different,CEC-R,CEC-R,1
159,160,I'll change it back,CEC-R,CEC-R,1
160,161,im changing it al ot,CEC-R,CEC-R,1
161,162,I thought I put it back to normal,CEC-R,CEC-R,1
162,163,I just set my resistor to 15,CEC-R,CEC-R,1
163,164,so ill drop mine alittle,CEC-R,CEC-R,1
164,165,Just changed it to 56,CEC-R,CEC-R,1
165,166,ill go up to 68,CEC-R,CEC-R,1
166,167,ill go up alittle,CEC-R,CEC-R,1
167,168,im changing my R now,CEC-R,CEC-R,1
168,169,i changed it to 100,CEC-R,CEC-R,1
169,170,im going to jump from 100 to 150 ohm now,CEC-R,CEC-R,1
170,171,i just can't,CEC-R,CEC-R,1
171,172,i clicked on it and then i cannot,CEC-R,CEC-R,1
172,173,let me calculate on scratch paper,CEC-R,CEC-R,1
173,174,I've switched my R to 220 ohms,CEC-R,CEC-R,1
174,175,I changed mine to 220 ohms as well,CEC-R,CEC-R,1
175,176,"I'm going to try to find the current based on that, then we should be able to calculate the remaining resistor values",CEC-R,CEC-R,1
176,177,"I had to mess with the leads a bit as well, they were not on when they appeared to be",CEC-R,CEC-R,1
