DataCode,DataDesc,Chat,Jess,Jess0,Label
4000,changed [resistor] from [value] to [value] via [keypress],r1,,Null,0.0
4000,changed [resistor] from [value] to [value] via [keypress],r1,,Null,0.0
3500,opened zoom,,CM-G,CM,7.0
3500,opened zoom,,CM-G,CM,7.0
5000,sent [chat] of [type],"testing testing, this chat working?",,Null,0.0
5000,sent [chat] of [type],"testing testing, this chat working?",,Null,0.0
4400,performed [calculation] with [result],1-Jan,CE-E,CE,5.0
5000,sent [chat] of [type],Yep,,Null,0.0
5000,sent [chat] of [type],Yep,,Null,0.0
5000,sent [chat] of [type],Goal's to make 4.5 volts,,Null,0.0
3500,opened zoom,,CM-G,CM,7.0
5000,sent [chat] of [type],yup,,Null,0.0
5000,sent [chat] of [type],yup,,Null,0.0
5000,sent [chat] of [type],yup,,Null,0.0
4500,viewed [board] in zoom,2,CM-G,CM,7.0
4500,viewed [board] in zoom,1,CM-G,CM,7.0
4500,viewed [board] in zoom,1,CM-G,CM,7.0
4500,viewed [board] in zoom,2,CM-G,CM,7.0
4500,viewed [board] in zoom,3,CM-G,CM,7.0
4500,viewed [board] in zoom,3,CM-G,CM,7.0
4500,viewed [board] in zoom,1,CM-G,CM,7.0
4500,viewed [board] in zoom,2,CM-G,CM,7.0
5000,sent [chat] of [type],same but I think we are going through the tutorial stil,,Null,0.0
4000,changed [resistor] from [value] to [value] via [keypress],r1,,Null,0.0
4000,changed [resistor] from [value] to [value] via [keypress],r1,,Null,0.0
4000,changed [resistor] from [value] to [value] via [keypress],r1,,Null,0.0
4000,changed [resistor] from [value] to [value] via [keypress],r1,,Null,0.0
4000,changed [resistor] from [value] to [value] via [keypress],r1,,Null,0.0
3500,opened zoom,,CM-G,CM,7.0
5000,sent [chat] of [type],still it is good to check any and all functions. We're bug tester after all.,,Null,0.0
5000,sent [chat] of [type],Just mentioning due to the fact our voltage goals might change,,Null,0.0
4400,performed [calculation] with [result],2+8,CE-E,CE,5.0
5000,sent [chat] of [type],Probably,,Null,0.0
5000,sent [chat] of [type],I think the tutorial bugged out on step 6,,Null,0.0
5000,sent [chat] of [type],step 7 send a message,,Null,0.0
5000,sent [chat] of [type],Yep,,Null,0.0
5000,sent [chat] of [type],Yep,,Null,0.0
5000,sent [chat] of [type],3.75V,SSI-O,SSI,11.0
5000,sent [chat] of [type],same,SESU-A,SESU,1.0
5000,sent [chat] of [type],same here,SESU-A,SESU,1.0
5000,sent [chat] of [type],"Interesting, the beginning question is the same as the tutorial",CRF-R,CRF,9.0
4000,changed [resistor] from [value] to [value] via [keypress],r1,CEU,CEU,6.0
4000,changed [resistor] from [value] to [value] via [keypress],r1,CEU,CEU,6.0
5000,sent [chat] of [type],Well lets give it out best shot team,SMC-R,SMC,3.0
3500,opened zoom,,CM-G,CM,7.0
4500,viewed [board] in zoom,2,CM-G,CM,7.0
4500,viewed [board] in zoom,3,CM-G,CM,7.0
4400,performed [calculation] with [result],15/4,CE-E,CE,5.0
5000,sent [chat] of [type],well we have 4 R,CRF-R,CRF,9.0
5000,sent [chat] of [type],I think the voltage is different tho?,SESU-P,SESU,1.0
5000,sent [chat] of [type],15/4 is 3.75 not,SSI-O,SSI,11.0
5000,sent [chat] of [type],no?,SESU-P,SESU,1.0
5000,sent [chat] of [type],E is 15 volts for me aswell,SSI-O,SSI,11.0
5000,sent [chat] of [type],just make our resistor all 390,CP-S,CP,8.0
4000,changed [resistor] from [value] to [value] via [keypress],r1,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r2,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r2,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r3,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r3,CE-E,CE,5.0
5000,sent [chat] of [type],Yup,SN-A,SN,10.0
5000,sent [chat] of [type],got 3.75,CMC-S,CMC,2.0
5000,sent [chat] of [type],hey it worked!,CMC-S,CMC,2.0
5000,sent [chat] of [type],yep,SN-A,SN,10.0
5000,sent [chat] of [type],Cool,SMC-R,SMC,3.0
5000,sent [chat] of [type],next one,SMC-O,SMC,3.0
6000,clicked submit,,CM-S,CM,7.0
5000,sent [chat] of [type],2.79,SSI-O,SSI,11.0
5000,sent [chat] of [type],3.36v,SSI-O,SSI,11.0
5000,sent [chat] of [type],.71V,SSI-O,SSI,11.0
5000,sent [chat] of [type],OK now things are interesting,SESU-A,SESU,1.0
5000,sent [chat] of [type],lets add them up see what we are missing?,SESU-P,SESU,1.0
5000,sent [chat] of [type],So iR0 is equal to 1 kOhm,SSI-O,SSI,11.0
4400,performed [calculation] with [result],2.79+3.366+.71,CE-E,CE,5.0
5000,sent [chat] of [type],My DCV is currently at 20,SSI-O,SSI,11.0
4400,performed [calculation] with [result],14-6.86,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r3,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r3,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r3,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r3,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r3,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r3,CE-E,CE,5.0
5000,sent [chat] of [type],so our voltages are total 6.8,SSI-O,SSI,11.0
4000,changed [resistor] from [value] to [value] via [keypress],r3,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r3,CE-E,CE,5.0
5000,sent [chat] of [type],which leaves 7.2 for the R0,SSI-O,SSI,11.0
5000,sent [chat] of [type],"Let's all say what our DCV is at, it will make our lives easier",SESU-P,SESU,1.0
5000,sent [chat] of [type],If it's at 7.2 for R0 it means the current is 7.2mA throughout the circuit,CRF-F,CRF,9.0
5000,sent [chat] of [type],sounds right to me,SN-A,SN,10.0
5000,sent [chat] of [type],OK,SESU-A,SESU,1.0
5000,sent [chat] of [type],Since I1=IT,SSI-O,SSI,11.0
5000,sent [chat] of [type],So it would be 7.2mA times our unknown resistance to get our given voltage,SSI-O,SSI,11.0
4400,performed [calculation] with [result],7.2/1000,CE-E,CE,5.0
4400,performed [calculation] with [result],0.0072,CE-E,CE,5.0
