DataCode,Data01,Jess
4300,voltage,CEC-R
5000,I'm trying to work myself backwords to see if I can make sense of it in my head,CEC-R
5000,R=V/I is the formula I used but it's the same thing,CEC-R
5000,I am currently measuring the voltage across the given resistor and adjusting the resistance,CEC-R
5000,As i am monitoring the voltage reading,CEC-R
5000,I am refreshing to see if this is something on my end versus an issue with the circuit,CEC-R
5000,I am still trying to troubleshoot the 0 voltage issue i have.,CEC-R
5000,I DID BUT ITS NOT SHOWING ANYTHING ON THE MULTIMETER,CEC-R
5000,I just tried that,CEC-R
5000,ill stay lower,CEC-R
5000,ok ill go up,CEC-R
5000,i went to 820,CEC-R
5000,so if you raise yours and i drop mine,CEC-R
5000,ill take 47,CEC-R
5000,I took 68,CEC-R
5000,i used 3820. 1k for ours resistors,CEC-R
5000,I set my resistor 390 ohms,CEC-R
5000,i cant do 30,CEC-R
5000,let me mess with this first,CEC-R
5000,done,CEC-R
5000,done,CEC-R
5000,done,CEC-R
5000,"I got 325, I changed it to 330",CEC-R
5000,did it,CEC-R
5000,went to 220,CEC-R
5000,did,CEC-R
5000,taking over,CEC-R
5000,I put 18-,CEC-R
5000,done,CEC-R
5000,I put 820,CEC-R
5000,did it,CEC-R
5000,I use 270,CEC-R
5000,I changed it to 220,CEC-R
5000,I did,CEC-R
5000,doned,CEC-R
5000,i put it in,CEC-R
5000,i unplugged the wire from the resistor,CEC-R
5000,"i connected the, again",CEC-R
5000,done,CEC-R
5000,I'm doing it B,CEC-R
5000,done,CEC-R
5000,I changed it to 150,CEC-R
5000,ok ill change mine a little lower,CEC-R
5000,ill change standby,CEC-R
5000,ill adjust my resistor,CEC-R
5000,ill go to 180,CEC-R
5000,ive change to 220 and reading 1.01,CEC-R
5000,"i have .68, i will adjust a little",CEC-R
5000,i went from 270 to 220 and now have 2.05,CEC-R
5000,im going to try something,CEC-R
5000,i went to 330,CEC-R
5000,i did and it jumped to 3.3,CEC-R
5000,i did,CEC-R
5000,I am,CEC-R
5000,waiting on,CEC-R
5000,you,CEC-R
5000,done,CEC-R
5000,I just decreased mine,CEC-R
5000,I did I made it 18,CEC-R
5000,I kept it at the 20,CEC-R
5000,i turned the deal on multimeter to 200k,CEC-R
5000,imma set my resistor on 8.2k,CEC-R
5000,i set the resistor to 2.2k,CEC-R
5000,i set mine at 5.6k,CEC-R
5000,im lowering down to 100,CEC-R
5000,i set the resistor i tried 8.2M and the multimeter is set at 1000 dcv and reading 0.00,CEC-R
5000,i just reconnected mine,CEC-R
5000,alright i set mine at 8.2m,CEC-R
5000,imma try to bring it down as close a spossible to 2,CEC-R
5000,I'll go lower,CEC-R
5000,ill go higher,CEC-R
5000,i lowered my resistance to 390k,CEC-R
5000,I'm there,CEC-R
5000,there,CEC-R
5000,ill try going lower,CEC-R
5000,ill try moving...,CEC-R
5000,ill stay still until directed otherwise,CEC-R
5000,Ill try raising/lowering,CEC-R
5000,hmm ok ill try playing with my color bands again,CEC-R
5000,I'm just flipping thru ohms now lol until i get mine,CEC-R
5000,"Okay, I won't just in case.",CEC-R
5000,i disconnect a wire and read the votalge on the meter,CEC-R
5000,"me and circle have been changing our resistances, but I dont think triangle has been",CEC-R
5000,i have been,CEC-R
5000,i added our volts and that wasnt it,CEC-R
5000,i legit have no clue. i tried it in ohms and that didnt work,CEC-R
5000,i did,CEC-R
5000,i am at 150 and changed the meater,CEC-R
5000,then go higher. Ill go lower,CEC-R
5000,ill stay put,CEC-R
5000,im going up one,CEC-R
5000,done.,CEC-R
5000,Im gonna try one of the equation real quick,CEC-R
5000,im just decreasing the resistor,CEC-R
5000,I added all the voltages together to find the voltage of V0,CEC-R
5000,Using the equation on the bottom right of the board,CEC-R
5000,"Then when I found my voltage, I plugged in V0 for the top equation on the left",CEC-R
5000,i went all the way to 10 to edit the resistor,CEC-R
5000,Ill plug those in real quick and give you guys the ohms needed hold on,CEC-R
5000,about to do mines,CEC-R
5000,"I recalculated, I is 0.01533",CEC-R
5000,i recalculated to 998,CEC-R
5000,I might be able to counter-act it,CEC-R
5000,ima do it and let me know,CEC-R
5000,i wont,CEC-R
5000,Maybe. I'm going to change my resistance,CEC-R
5000,Eagle and I will fiddle with it,CEC-R
5000,so i set my resistor to 100,CEC-R
5000,done,CEC-R
5000,lemme try increase myine,CEC-R
5000,i just picked a random number,CEC-R
5000,I set the the nob on 20 DCV and i have 4.18,CEC-R
5000,did that my voltage is now 3.72,CEC-R
5000,im trying to just figure it out,CEC-R
5000,ill change mine slightly to see if we can get closer,CEC-R
5000,i did,CEC-R
5000,i went 120,CEC-R
5000,i did,CEC-R
5000,i did not,CEC-R
5000,just did,CEC-R
5000,i just did,CEC-R
5000,went up one,CEC-R
5000,i went to 2.31,CEC-R
5000,did that,CEC-R
5000,i am,CEC-R
5000,im doing the math,CEC-R
5000,"ok wait, everyone say their goal voltages again, lemme take a crack",CEC-R
5000,I did!,CEC-R
5000,i did like a milliion years ago,CEC-R
5000,"I did, it says 6.82",CEC-R
5000,click on the wires,CEC-R
5000,okay i did that,CEC-R
5000,i tried that as well>,CEC-R
5000,"ok, i think i need a 220 ohm resistor. putting it in.",CEC-R
5000,i put in 270 but my voltmeter still shows 0,CEC-R
5000,i put mine in,CEC-R
5000,i set mine to 56,CEC-R
5000,i changed mine to 150 ohm,CEC-R
5000,i changed mine to 180,CEC-R
5000,i dont have 240 ill set 220,CEC-R
5000,I PLUGGED IT BACK IN,CEC-R
5000,Done,CEC-R
5000,done,CEC-R
5000,done,CEC-R
5000,I was trying values,CEC-R
5000,Ill try doing some calculations,CEC-R
5000,Im gonna drop a little bit,CEC-R
5000,there now,CEC-R
5000,done,CEC-R
5000,ill try using reatios,CEC-R
5000,I meant to change the resistance,CEC-R
5000,okay done,CEC-R
5000,done,CEC-R
5000,done,CEC-R
5000,Since the voltage drops are all the same since the Resistance is equal,CEC-R
5000,i changed it to 330 and4.98,CEC-R
5000,i did it try again,CEC-R
5000,"820 is right i think, im there",CEC-R
5000,I just bumped my resistance up to an extreme case,CEC-R
5000,because i measured the amps again and it was different,CEC-R
5000,I'll change it back,CEC-R
5000,im changing it al ot,CEC-R
5000,I thought I put it back to normal,CEC-R
5000,I just set my resistor to 15,CEC-R
5000,so ill drop mine alittle,CEC-R
5000,Just changed it to 56,CEC-R
5000,ill go up to 68,CEC-R
5000,ill go up alittle,CEC-R
5000,im changing my R now,CEC-R
5000,i changed it to 100,CEC-R
5000,im going to jump from 100 to 150 ohm now,CEC-R
5000,i just can't,CEC-R
5000,i clicked on it and then i cannot,CEC-R
5000,let me calculate on scratch paper,CEC-R
5000,I've switched my R to 220 ohms,CEC-R
5000,I changed mine to 220 ohms as well,CEC-R
5000,"I'm going to try to find the current based on that, then we should be able to calculate the remaining resistor values",CEC-R
5000,"I had to mess with the leads a bit as well, they were not on when they appeared to be",CEC-R
5000,I didn't change it.,CEC-R
5000,I did to measure amperage.,CEC-R
5000,ill do the math and yall can check me,CEC-R
5000,Possibly but I'm not sure. I'll change mine now.,CEC-R
5000,i changed mine,CEC-R
5000,"i'm already did the calculation, the current 0.0222A",CEC-R
5000,I did that,CEC-R
5000,I put mine at 560,CEC-R
5000,"so i just went from 560 to 470, and my voltage went down",CEC-R
5000,I changed mine back to 220 and I'm at 2.15 and I need 2.18,CEC-R
5000,I'll try going up,CEC-R
5000,I cannged to 680 and I'm now at 5.35,CEC-R
5000,let me tweek mine up and down and tell me what happens,CEC-R
5000,I changed mine to 330,CEC-R
5000,"Okay, mine is good",CEC-R
5000,I'll lower mine,CEC-R
5000,"I lowered mine some more, hopefully giving you guys some head room. What are your values now?",CEC-R
5000,"I've just been lowering mine, I've hit 10 ohm",CEC-R
5000,I raised mine up to 82 ohm,CEC-R
5000,I dropped my resistance,CEC-R
5000,im testing something,CEC-R
5000,i raised my resistance,CEC-R
5000,i have it entered,CEC-R
5000,I am trying to spot match it,CEC-R
5000,I'll drop mine and we'll what happens.,CEC-R
5000,"Guitar, okay now I'll add mine in. 220 Ohms from me.",CEC-R
5000,horn now just keep changing your resistance until you get to 4.25 V. It might work,CEC-R
5000,I'll change mine to one setting lower.,CEC-R
5000,Who's changing their resistor? I'm not touching mine.,CEC-R
5000,i will,CEC-R
5000,I changed mine to 3.9m Ohms and have 4.14 on mine.,CEC-R
5000,i keep hovering between 1 and 4,CEC-R
5000,Try changing it. I won't touch mine.,CEC-R
5000,"Okay, I can't change it without it going out of bounds.",CEC-R
5000,nevermind I got it,CEC-R
5000,Not going to lie I'm just kind of playing guess and check with these resistor values,CEC-R
5000,i changed mine to that,CEC-R
5000,trying to figure out how to get e again,CEC-R
5000,10.95 mA for current actually. needed to break the circuit,CEC-R
5000,what i am going to do is break the circuit on my end and measure the current,CEC-R
5000,i just put my circuit back together,CEC-R
5000,alright ill keep mine together,CEC-R
5000,ill keep mine together,CEC-R
5000,okay no one touch anything and I will measure current,CEC-R
5000,im going to leave mine at 560 ohms and 5.4 for now,CEC-R
5000,okay so that gave me 398 but the closest resistance to choose from in 390 so i chose that and my meter is now reading 4.42,CEC-R
5000,"ok aweseome, so now since lion got theres, i can get mine",CEC-R
5000,hmm well i wont touch anything,CEC-R
5000,so im going to use that as my current and change my resistance now and then i will tell you my voltage,CEC-R
5000,already there,CEC-R
5000,there,CEC-R
5000,there,CEC-R
5000,mines set,CEC-R
5000,set,CEC-R
5000,set,CEC-R
5000,using 470??,CEC-R
5000,let me try,CEC-R
5000,using 330 ohms,CEC-R
5000,3.86 at 390ohm gonna try back up to 470,CEC-R
5000,i'll adjust next,CEC-R
5000,ok ill change to 470,CEC-R
5000,ok my next jump is to 560 which is 90 more who has the least jump in ohms,CEC-R
5000,ill go up one resistor,CEC-R
5000,i'll adjust,CEC-R
5000,set,CEC-R
5000,ok im going to adjust mine now 1 resistor at time,CEC-R
5000,ill go up,CEC-R
5000,I will,CEC-R
5000,Okay I will try 390,CEC-R
