,Text,Label
1,I'm trying to work myself backwords to see if I can make sense of it in my head,CEC-R
2,R=V/I is the formula I used but it's the same thing,CEC-R
3,I am currently measuring the voltage across the given resistor and adjusting the resistance,CEC-R
4,As i am monitoring the voltage reading,CEC-R
5,I am refreshing to see if this is something on my end versus an issue with the circuit,CEC-R
6,I am still trying to troubleshoot the 0 voltage issue i have.,CEC-R
7,I DID BUT ITS NOT SHOWING ANYTHING ON THE MULTIMETER,CEC-R
8,I just tried that,CEC-R
9,ill stay lower,CEC-R
10,ok ill go up,CEC-R
11,i went to 820,CEC-R
12,so if you raise yours and i drop mine,CEC-R
13,ill take 47,CEC-R
14,I took 68,CEC-R
15,i used 3820. 1k for ours resistors,CEC-R
16,I set my resistor 390 ohms,CEC-R
17,i cant do 30,CEC-R
18,let me mess with this first,CEC-R
19,done,CEC-R
20,done,CEC-R
21,done,CEC-R
22,"I got 325, I changed it to 330",CEC-R
23,did it,CEC-R
24,went to 220,CEC-R
25,did,CEC-R
26,taking over,CEC-R
27,I put 18-,CEC-R
28,done,CEC-R
29,I put 820,CEC-R
30,did it,CEC-R
31,I use 270,CEC-R
32,I changed it to 220,CEC-R
33,I did,CEC-R
34,doned,CEC-R
35,i put it in,CEC-R
36,i unplugged the wire from the resistor,CEC-R
37,"i connected the, again",CEC-R
38,done,CEC-R
39,I'm doing it B,CEC-R
40,done,CEC-R
41,I changed it to 150,CEC-R
42,ok ill change mine a little lower,CEC-R
43,ill change standby,CEC-R
44,ill adjust my resistor,CEC-R
45,ill go to 180,CEC-R
46,ive change to 220 and reading 1.01,CEC-R
47,"i have .68, i will adjust a little",CEC-R
48,i went from 270 to 220 and now have 2.05,CEC-R
49,im going to try something,CEC-R
50,i went to 330,CEC-R
51,i did and it jumped to 3.3,CEC-R
52,i did,CEC-R
53,I am,CEC-R
54,waiting on,CEC-R
55,you,CEC-R
56,done,CEC-R
57,I just decreased mine,CEC-R
58,I did I made it 18,CEC-R
59,I kept it at the 20,CEC-R
60,i turned the deal on multimeter to 200k,CEC-R
61,imma set my resistor on 8.2k,CEC-R
62,i set the resistor to 2.2k,CEC-R
63,i set mine at 5.6k,CEC-R
64,im lowering down to 100,CEC-R
65,i set the resistor i tried 8.2M and the multimeter is set at 1000 dcv and reading 0.00,CEC-R
66,i just reconnected mine,CEC-R
67,alright i set mine at 8.2m,CEC-R
68,imma try to bring it down as close a spossible to 2,CEC-R
69,I'll go lower,CEC-R
70,ill go higher,CEC-R
71,i lowered my resistance to 390k,CEC-R
72,I'm there,CEC-R
73,there,CEC-R
74,ill try going lower,CEC-R
75,ill try moving...,CEC-R
76,ill stay still until directed otherwise,CEC-R
77,Ill try raising/lowering,CEC-R
78,hmm ok ill try playing with my color bands again,CEC-R
79,I'm just flipping thru ohms now lol until i get mine,CEC-R
80,"Okay, I won't just in case.",CEC-R
81,i disconnect a wire and read the votalge on the meter,CEC-R
82,"me and circle have been changing our resistances, but I dont think triangle has been",CEC-R
83,i have been,CEC-R
84,i added our volts and that wasnt it,CEC-R
85,i legit have no clue. i tried it in ohms and that didnt work,CEC-R
86,i did,CEC-R
87,i am at 150 and changed the meater,CEC-R
88,then go higher. Ill go lower,CEC-R
89,ill stay put,CEC-R
90,im going up one,CEC-R
91,done.,CEC-R
92,Im gonna try one of the equation real quick,CEC-R
93,im just decreasing the resistor,CEC-R
94,I added all the voltages together to find the voltage of V0,CEC-R
95,Using the equation on the bottom right of the board,CEC-R
96,"Then when I found my voltage, I plugged in V0 for the top equation on the left",CEC-R
97,i went all the way to 10 to edit the resistor,CEC-R
98,Ill plug those in real quick and give you guys the ohms needed hold on,CEC-R
99,about to do mines,CEC-R
100,"I recalculated, I is 0.01533",CEC-R
101,i recalculated to 998,CEC-R
102,I might be able to counter-act it,CEC-R
103,ima do it and let me know,CEC-R
104,i wont,CEC-R
105,Maybe. I'm going to change my resistance,CEC-R
106,Eagle and I will fiddle with it,CEC-R
107,so i set my resistor to 100,CEC-R
108,done,CEC-R
109,lemme try increase myine,CEC-R
110,i just picked a random number,CEC-R
111,I set the the nob on 20 DCV and i have 4.18,CEC-R
112,did that my voltage is now 3.72,CEC-R
113,im trying to just figure it out,CEC-R
114,ill change mine slightly to see if we can get closer,CEC-R
115,i did,CEC-R
116,i went 120,CEC-R
117,i did,CEC-R
118,i did not,CEC-R
119,just did,CEC-R
120,i just did,CEC-R
121,went up one,CEC-R
122,i went to 2.31,CEC-R
123,did that,CEC-R
124,i am,CEC-R
125,im doing the math,CEC-R
126,"ok wait, everyone say their goal voltages again, lemme take a crack",CEC-R
127,I did!,CEC-R
128,i did like a milliion years ago,CEC-R
129,"I did, it says 6.82",CEC-R
130,click on the wires,CEC-R
131,okay i did that,CEC-R
132,i tried that as well>,CEC-R
133,"ok, i think i need a 220 ohm resistor. putting it in.",CEC-R
134,i put in 270 but my voltmeter still shows 0,CEC-R
135,i put mine in,CEC-R
136,i set mine to 56,CEC-R
137,i changed mine to 150 ohm,CEC-R
138,i changed mine to 180,CEC-R
139,i dont have 240 ill set 220,CEC-R
140,I PLUGGED IT BACK IN,CEC-R
141,Done,CEC-R
142,done,CEC-R
143,done,CEC-R
144,I was trying values,CEC-R
145,Ill try doing some calculations,CEC-R
146,Im gonna drop a little bit,CEC-R
147,there now,CEC-R
148,done,CEC-R
149,ill try using reatios,CEC-R
150,I meant to change the resistance,CEC-R
151,okay done,CEC-R
152,done,CEC-R
153,done,CEC-R
154,Since the voltage drops are all the same since the Resistance is equal,CEC-R
155,i changed it to 330 and4.98,CEC-R
156,i did it try again,CEC-R
157,"820 is right i think, im there",CEC-R
158,I just bumped my resistance up to an extreme case,CEC-R
159,because i measured the amps again and it was different,CEC-R
160,I'll change it back,CEC-R
161,im changing it al ot,CEC-R
162,I thought I put it back to normal,CEC-R
163,I just set my resistor to 15,CEC-R
164,so ill drop mine alittle,CEC-R
165,Just changed it to 56,CEC-R
166,ill go up to 68,CEC-R
167,ill go up alittle,CEC-R
168,im changing my R now,CEC-R
169,i changed it to 100,CEC-R
170,im going to jump from 100 to 150 ohm now,CEC-R
171,i just can't,CEC-R
172,i clicked on it and then i cannot,CEC-R
173,let me calculate on scratch paper,CEC-R
174,I've switched my R to 220 ohms,CEC-R
175,I changed mine to 220 ohms as well,CEC-R
176,"I'm going to try to find the current based on that, then we should be able to calculate the remaining resistor values",CEC-R
177,"I had to mess with the leads a bit as well, they were not on when they appeared to be",CEC-R
178,I didn't change it.,CEC-R
179,I did to measure amperage.,CEC-R
180,ill do the math and yall can check me,CEC-R
181,Possibly but I'm not sure. I'll change mine now.,CEC-R
182,i changed mine,CEC-R
183,"i'm already did the calculation, the current 0.0222A",CEC-R
184,I did that,CEC-R
185,I put mine at 560,CEC-R
186,"so i just went from 560 to 470, and my voltage went down",CEC-R
187,I changed mine back to 220 and I'm at 2.15 and I need 2.18,CEC-R
188,I'll try going up,CEC-R
189,I cannged to 680 and I'm now at 5.35,CEC-R
190,let me tweek mine up and down and tell me what happens,CEC-R
191,I changed mine to 330,CEC-R
192,"Okay, mine is good",CEC-R
193,I'll lower mine,CEC-R
194,"I lowered mine some more, hopefully giving you guys some head room. What are your values now?",CEC-R
