,Text,Label,Label2
0,yall enter it,CEC-S,2
1,try adjusting yours again,CEC-S,2
2,how do we move the shit around,SESU-P,11
3,did you try 270?,SESU-P,11
4,ok im closer,CMC-S,5
5,Set your arrow on the multimeter pointing right,CEC-S,2
6,R1 at 150 ohm and 0.75V,SSI-O,17
7,26.2 mA,SSI-O,17
8,Mine just went down to 3.5,SSI-O,17
9,1.69,SSI-O,17
10,im at 1.8 rn,SSI-O,17
11,boi,SMC-R,14
12,agree,SN-A,15
13,so you just vhange it to 1 K?,SESU-P,11
14,6u,SMC-O,13
15,"which means I= 0.00957... amps, and we each need ~470 volts on our resistor i think",CRF-F,8
16,R2= 54.4,SSI-O,17
17,how high do you wanna go?,SESU-P,11
18,say too much power from the program shorted your computer,SMC-O,13
19,4.19,SSI-O,17
20,5.86,SSI-O,17
21,yea current is 5.48 milli,SN-A,15
22,im at 0.69V now,SSI-O,17
23,we had it,CMC-S,5
24,390,SSI-O,17
25,at 150 with 1V,SSI-O,17
26,617,SSI-O,17
27,ight so we can measure the in voltage,CP-S,7
28,i am at 2.25 at 270ohm off by .13,CMC-S,5
29,What's that,SESU-P,11
30,lets fo bouy,SMC-R,14
31,we might have to guess,CP-S,7
32,2=.05333*Req^2+Req^2,SSI-O,17
33,lets go to the next one,CP-S,7
34,881??,SSI-O,17
35,i mean we can try that until we get something that makes sense,CP-S,7
36,is anyone close,CMC-S,5
37,nice going dumbass pliers,SMC-I,12
38,I moved upi to 150 and now im at 1.01 voly,CEC-R,1
39,Ill plug those in real quick and give you guys the ohms needed hold on,CEC-R,1
40,Mine is set,SSI-O,17
41,just do it asap,CEC-S,2
42,I got 1630 Ohms yes,SN-A,15
43,yea,SN-A,15
44,oh i see that makes sense,SSI-U,19
45,Let's try it!,CP-S,7
46,its at 3.96,SSI-O,17
47,"Yeah, 6 mA.",SN-A,15
48,try 390 or 470,CEC-S,2
49,imn at -3.93,SSI-O,17
50,0.77,SSI-O,17
51,so i across r0 is .022,SSI-O,17
52,go down?,SESU-P,11
53,"nah, 2.63",SN-D,16
54,not sure,SSI-U,19
55,ok cool. According to the voltage equation the ratio of (R/RT) needs to be 1/4,SSI-O,17
56,take the 2.08,CEC-S,2
57,I'm at 180 and have 2.62,SSI-O,17
58,tiger whats your goal,SESU-P,11
59,"Ok, I'll stop",CEC-R,1
60,What is your goal and resistance at?,SESU-P,11
61,Well if V=IxR We can use I=V/R by adding all the voltage and resistances together and using I=V/R maybe?,CRF-F,8
62,i got 3.72,SSI-O,17
63,gj,CM-G,3
64,alright yall lets solve some curtcuits,SMC-R,14
65,eagle,CMC-G,4
66,same here,SESU-A,10
